,responce,question
603,@115904 We'll be sure to pass along your kind words! #AATeam,@AmericanAir Erica on the lax team is amazing give her a raise ty
605,@115904 Our apologies for the delay in responding to you. Have you made it to LAX? Let us know if you still need assistance.,@AmericanAir Could you have someone on your lax team available to guide me to my gate ASAP
608,"@115905 Aww, that's definitely a future pilot in the making! #HappyHalloween",Ben Tennyson and an American Airlines pilot. 🎃 #trunkortreat #halloween #2017 #diycostume #parenting @americanair … https://t.co/f1nNHQ0iLa https://t.co/lDViDkRdB1
612,@115906 We're sorry for your frustration.,"@AmericanAir Right, but I earned those. I also shouldn’t have to pay to pass them to my own spouse. You need to change your program."
618,@115909 We're glad you got to kick back and enjoy a show while flying! Thanks for your kind words.,"Thank you, @AmericanAir for playing #ThisIsUs and for having great flight attendants on my flight back home!"
1315,@116142 We never want your experience to be anything less than perfect. We're sorry the Wi-Fi was slower than expected.,@AmericanAir's wifi makes Amtrak's wifi look pro. At least theirs is free.  @5804 has decent wifi @ reasonable prices. Why not AA?
1317,"@116143 Thanks for the shout-out and for stopping by, Marc! We'll pass this on to our SFO Admirals Club managers.","Wonderful club! @americanair (@ American Airlines Admirals Club in San Francisco, CA) https://t.co/GWFwuGVgNA"
1321,@116144 They'll be more than happy to walk you through it and help with the booking process.,"@AmericanAir already did...changed browsers, did all my techie tricks and still can't make a reservation after 1 hour!!"
1324,@116144 We're sorry for the long wait. The next available agent will be with you as soon as possible.,@AmericanAir ........still....on....hold.....they made the booking. I am trying to pay.....so #frustrating.
1326,@116144 Fares sell in real time. We're sorry we weren't able to snag the lower fare for you.,@AmericanAir well now i am told the ticket cost is an additional $200/person to pay....because of the wait....omg
1329,@116144 We're glad our Reservations team was able to help.,@AmericanAir finally booked and they honored lower fare....that was still available on line
1332,@116145 We're sorry for your frustration. Any damage must be assessed in person within 24 hours of arrival by airport personnel.,@AmericanAir Well how much does that help me now?
1334,@116145 An airport agent will be happy to take a look at your bag to assist with a claim but damage must be assessed in person.,@AmericanAir I was long gone from the airport by then
1336,"@116145 Our team will need to assess the damage in person, please see an agent for assistance.",@AmericanAir No I was not able to
1340,@116146 We're happy when you're happy! That sure does look delicious.,Big thx 2 @AmericanAir 4 guacamole and margs of thx while the @116147 lounge upgrades are underway #nomnom https://t.co/PCW4Vdxbyf
2206,@116415 We always want everyone to be comfy. You can ask our crew about any available open seats.,"@AmericanAir Oh, my god, she’s been going for ten minutes."
2222,"@116417 Oh my, that #guac looks delish! Thanks for always sharing the good and the bad, Kevin. #yummy",@AmericanAir - I give you grief when things go poorly.  Here’s some credit: The guacamole in the Admirals Club is an outstanding addition. https://t.co/kfjAW6FMTf
2224,@116418 We'd like to share this feedback. Please DM your record locator.,"@AmericanAir I'm aware. Fits in overhead.This was a return trip. Had same luggage going. This was pre-security. Gate chck, ok, but Empty overheads on flt"
2226,@116418 Your guitar must fit underneath the seat in front of you or in an overhead bin. Please see details here: https://t.co/AqqDo7qAE3.,"@AmericanAir Despite flying w/ same from EWR, forced @ MIA to check guitar &amp; charged $25. Not @ gate, B4 security. Flt not full. WHY?"
2228,@116419 Please share your record locator via DMs and we can take look.,Yo @AmericanAir why are there fifteen empty business class seats and only one person that got upgraded? #Weak #NoTreat? #ThenTrickItIs
2230,"@116420 Did you file a report with us? If you did, please send us a DM and include that in so we can take a look.",Still waiting on @AmericanAir to compensate for all the crap they put @58 and I through on our honeymoon...almost a year ago. 🤔
2652,"@116565 We hear you, Liam. We're working as fast as we can to update our fleet and will soon have super fast Wi-Fi to stream movies.",Really @AmericanAir.. 7hour international flight and no seat back entertainment screens.. c’mon
2654,@116565 We appreciate your feedback!,@AmericanAir I’d still rather have a screen though. Rather not cause neck problems looking down all flight at a tablet
2656,@116566 Thanks for your kind words! We hope you have a fantastic evening.,@AmericanAir Just have to say the Flight Attenants on Flight 1361 from BDL to ORD we’re awesome! Gate agents at BDL also! They need a shout out for awesome customer service! Treated this NonRev very well!!
2658,"@116567 We're very sorry about that, Perla. We always want your experience to go smoothly.","@AmericanAir En todos los años que tengo volando con #AA nunca había tenido una experiencia como la de ayer 24 vuelo 914 Caracas-Miami. La peor tripulación, desagradable, descortés y con poca vocación de servicio. #NOCALIDAD  #servicio"
2660,"@116568 That's the most current info, but if there is any further update our gate team will provide it as it becomes available.",@AmericanAir Yes I see that. Your app says the incoming flight arrives at 10:05 so how are we going to take off at 10:10? https://t.co/vZxyxOa1xo
2664,@116568 Looks like it has a maintenance delay and it's currently scheduled to take off at 10:10p.,@AmericanAir what’s going on with flight 301 DTW &gt; DFW? Delayed over 3 hours. Will it be canceled?
2666,@116569 Our crew is there to serve you and not deceive you in any way. We're also here to help so please share your flight details via DMs.,@AmericanAir I have flown @AmericanAir 15 times in the past 12 months and only departed on schedule 4 times.
2669,"@116569 Our offer still stands to assist, Andrew.","@AmericanAir Not only has my family, and several other families been inconvenienced by @AmericanAir  today - this is now 16 flights in one year with only 5 ""on time"" departures."
2673,@116569 We're sorry for the delay. The previous pilot may not have been aware of the problem. We appreciate your patience.,"@AmericanAir stuck on flight 609 in Charlotte over 55 minutes due to a computer card tech issue while pilot repeatedly advised it would only take a ""few minutes"" to fix. Why wasn't this issue reported by previous pilot that arrived minutes b4 we boarded in effort to save time?"
2675,"@116570 Please DM your record locator, we'd like to forward this feedback.",@AmericanAir I was forced to check my small suitcase. Never happened before.  There was plenty of storage space too. Fml
2677,"@116570 We're sorry for the extended travel time today, Ally. Our team is working hard to reunite you with your bags.","Give me and the 50,000 other people our bags @AmericanAir! #travelwoes #longestday"
2683,"@116572 We see you're arriving just a few minutes early, we're always working to get you to your destination as soon as possible.",The audacity of @AmericanAir 1416 landing early tonight. I might have to negotiate a shared ride cause there’s no taxis. #Talesfromthetaxi
2685,"@116573 Hi, Matt, we've your info but we'd like to verify which trip you'd like to cancel. Please DM your record locator with the unwanted return.",@AmericanAir I had to end my trip way sooner than expected. :( Bought a new flight because it was way cheaper than changing my return. What do I need to do to cancel my return so someone can have that seat?
2687,@116574 Thanks for your loyalty! It means the world to us.,Thank you @AmericanAir for being responsive and helpful and more than making up for a bad flight!  #stayingloyal @Delta
2689,"@116575 You wouldn't get those perks on BA, Martin.","@AmericanAir if I have the platinum select aadvantage card and I purchased an int’l ticket through your site but it ended up being on British Air, will I still retain the same benefits of my aadvantage card on this flight (I.e, early boarding)?"
2691,"@116576 Our sincere apologies for any last minute gate changes, we know that's not fun. Please let us know if we can help here.","@AmericanAir Let’s see if your social media team will respond here, as they obviously overlook negative feedback on Facebook. #AmericanAirlines #NoResponse https://t.co/dzWB2HPGDQ"
2694,"@116577 We apologize for the inconvenience. Travelers submit their paperwork to us, but aren't required to show it to everyone on board.",@AmericanAir Exactly as seen on our flight.  #GetSomeRealPoliciesAndEnforceThem https://t.co/A7nkJqqQ7S
2697,@116578 She sure is a gorgeous bird!,@AmericanAir thanks for awesome flight home #Dreamliner https://t.co/ArQkp3oZh2
2703,@116579 #ALLLLLTheFeelz,@AmericanAir FEELS https://t.co/C11gLTRJ4f
2708,@116577 Any dogs you see outside of a kennel are either service or emotional support animals.,"@AmericanAir You’re missing my point.  Numerous people tripped over the dog, not to mention anyone who might have been allergic.  When did you change your policy to allow any size dog into cabins for any/no reason?"
2713,"@116577 We're sorry for the inconvenience, Nick. Did you ask a crew member if you could move to another seat?",@AmericanAir I love dogs but they don’t belong in #airplane #cabins.  It was bad enough when anyone could say they had a #therapypet.  I can’t keep my small bag in the #bulkhead row but the woman next to me can have her 40lb dog?
